-11	DRAWING	TITLE	FIND	STRIKE
2	1010867-12	SCREW, FLAT HD, SPL SOC S.L.	17	
6	1001489-22	SCREW, HEX, SOC HEAD	16	X
6	1001488-18	SCREW, HEX, SOC HEAD S.L.	15	
			14	
			13	
AR	1010996	ADHESIVE	12	
AR	MIL-A-13883 TYPE I	ADH 3M EC1090	11	
1	1010490-196	INSULATION SLEEVING, ELEC. HEAT SHRINK	10	
1	1010490-110	INSULATION SLEEVING, ELEC. HEAT SHRINK	9	
1	2018731	CLIP, WIRE RETAINER	8	
1	2018732	CLIP, WIRE RETAINER	7	
1	2018621	BEARING, BALL, DUPLEX	6	
1	2018631	RESOLVER, MULTIPLE SPEED	5	
1	2018733	PLATE, BRG RETAINER, RSVR M.A. & O.A.	4	
1	2018723	NUG, BRG RETAINER	3	
1	2018730	SHAFT, STUB, RESOLVER M.A. & O.A.	2	
1	2018736	HOUSING, BRG, RSVR, MIDDLE AXIS	1	
				
		PROOFED		
