FIND	0	DRAWING	TITLE
15	AR	1011753	TAPE, LACING & TYING
14	4	1011750-4	NUT, SELF-LOCKING, HEXAGON
13	4	MS35233-5	SCREW, MACHINE, PAN HD
12	0.5” (23)	1006776-15	INSULATION SLEEVING
11	26	MS17803-16-20	CONTACT, ELECTRICAL CONN, PIN, CRIMP, REMOVABLE
10	5.0 FEET	1002105 24 AWG TYPE 1 WHITE	WIRE, IRRADIATED, POLYOLEFIN, ELECTRICAL
9	2	1011750-8	NUT, SELF-LOCKING, HEXAGON
8	4	1011495-1	WASHER, INSULATING
7	2	MS35233-23	SCREW, MACHINE, PAN HD
6	2	1011498	RESISTOR, VARIABLE, WIREWOUND (TRIMMER)
5	2	1010269-2	TRANSISTOR
4	23	1011494	CONTACT, ELECTRICAL (PIN, CRIMP TERMINATION)
3	1	1011499	CONNECTOR, ELECTRICAL, RECEPTACLE
2	1	1011478	AMP & SW MODULE ASSY
1	1	1011484	BRACKET, MTY, ASSY OF
			
			PROOFED
