-021	-011	FIND	DRAWING	TITLE
1		15	6007200-061	POWER & SERVO ASSEMBLY
1	1	14	1010490-108	INSULATION SLEEVING ELEC
AR	AR	13	2021593	ADHESIVE
AR	AR	12	MIL-I-15126 TYPE MFT 2.5	INSULATION TAPE, PRESSURE SENSITIVE
1	1	11	1004260-516	NAMEPLATE
2	2	10	1001489-24	SCREW, HEX. SOC. HD.
3	3	9	1010490-142	INSULATION, SLEEVING
1	1	8	2010746-005	THERMOCOUPLE, CONTACT
1	1	7	-007	THERMOCOUPLE, CONTACT
1	1	6	-006	THERMOCOUPLE, CONTACT
2	2	5	1016151-006	NUT, SELF LOCKING
2	2	4	MS35233-15	SCREW, PAN HEAD
1	1	3	2010739	CLAMP
1	1	2	2010740	BRACKET
	1	1	6007200-031	POWER AND SERVO ASSY.
				
				PROOFED
