0	TITLE	DRAWING	FIND
1	INTERGIMBAL SUB-ASSEMBLY 16X	1000207	3
1	INTERGIMBAL SUB-ASSEMBLY 1X	1000010	2
1	STABLE MEMBER ASSEMBLY	1000005	1
			
	PROOFED		
