-011	DRAWING	TITLE	FIND
X	2010056	SCHEMATIC	REF
1	1006777-27	CAPACITOR	26
12.0” LONG (1)	2007048	CONTACT, ELECTRICAL PIN	25
12.0” LONG (1)	2007052	CAPACITOR	24
12.0” LONG (1)	2007041	CAPACITOR	23
15.0” LONG (2)	2007039	CAPACITOR	22
3	1010397-1	TRANSISTOR	21
1	2007098	TRANSISTOR SHIELD ASSY	20
1	1012502-001	CAPACITOR	19
2	1006755-69	CAPACITOR	18
1	1010777-28	CAPACITOR	17
1	1006750-25	RESISTOR	16
1	-53	RESISTOR	15
1	1010364-488	RESISTOR	14
1	1006750-39	RESISTOR	13
1	1010364-304	RESISTOR	12
1	1006750-41	RESISTOR	11
1	1010364-484	RESISTOR	10
1	1006750-78	RESISTOR	9
1	1010768-58	RESISTOR	8
AR	1006776-22	INSULATION SLEEVING	7
AR	-21	INSULATION SLEEVING	6
AR	1006757-8	WIRE, ELECTRICAL .020 DIA	5
AR	-1	WIRE, ELECTRICAL .010 X .020	4
3	2008246	SPACER	3
1	2008244	INSULATOR, BOTTOM	2
1	2008245	INSULATOR, TOP	1
			
		PROOFED	
