-11	0	FIND	DRAWING	TITLE
1	0	21	2011933-011	SXT SHAFT DRIVE HARNESS, ASSY OF
2	2	20	NAS1352C06-6	SCREW, CAP, SOC HD
2	2	19	1011918-3	WASHER, CABLE, CLAMP
2	2	18	1000220-4	CLAMP, CABLE
3	3	17	1011625-18	SCREW, CAP, SOCKET HEAD, SELF-LOCKING
3	3	16	2011868-1	CLAMP, RIM CLENCHING
6	6	15	1011625-16	SCREW, CAP, SOCKET HEAD, SELF-LOCKING
6	6	14	2011868-3	CLAMP, RIM CLENCHING
0	1	13	2011933-000	SXT SHAFT DRIVE HARNESS, ASSY OF
AR	AR	12	2011804	WASHER, FLAT
2	2	11	1011625-11	SCREW, CAP, SOCKET HEAD, SELF-LOCKING
2	2	10	2011355-2	CLAMP, COLLAR
1	1	9	2012035	GEAR SPUR (74T-120P)
1	1	8	2011297	GEAR, SPUR (148T-120P)
1	1	7	2011299	GEARSHAFT (205-64P, 100T-64P)
1	1	6	2011298	GEARSHAFT (20T-64P, 98T-72P)
1	1	5	2011296	GEARSHAFT (18T-72P, 71T-72P)
1	1	4	2011295	GEARSHAFT (19T-72P, 104T-120P)
7	7	3	1011608-3	BEARING, BALL, ANNULAR
1	1	2	1011608-1	BEARING, BALL, ANNULAR
1	1	1	2012380	HOUSING, GEAR MACHINING, ASSEMBLY OF
				
				PROOFED
