-021	-011	DRAWING	TITLE	FIND
3		6010669	ANGLE SUPPORT	8
1		6007007-021	HEADER SUBASSEMBLY	7
9	9	NAS1352-08-6	SCREW, CAP, SOCKET HEAD	6
	3	6008032	ANGLE SUPPORT	5
AR	AR	MIL-I-15126 TYPE MFT 2.5	MYLAR TAPE	4
1	1	1008833-001	RESISTOR, TEMP SENSITIVE, WAFER	3
1	1	6014524	LEAD SET AA ELECTRICAL	2
	1	6007007-011	HEADER SUBASSEMBLY	1
				
			PROOFED	
