-51	-41	-31	-21	-11	DRAWING	TITLE	FIND
30					2004301-001	DUAL NOR GATE	11
1	1				2007100-441	MATRIX ASSEMBLY	10
		1			2007100-321	MATRIX ASSEMBLY	9
2	2	2	2	2	2008382	SUPPORT BLOCK	8
			1		2007100-191	MATRIX ASSEMBLY	7
				1	2007100-061	MATRIX ASSEMBLY	6
AR	AR	AR	AR	AR	1006806-6	INSULATION TAPE ELECTRICAL	5
1	1	1	1	1	2007083-011	CONNECTOR B, HEADER/MATRIX	4
1	1	1	1	1	2003021-001	GROUND BUSS	3
	30	30	30	30	1004301-001	DUAL NOR GATE	2
1	1	1	1	1	2004031	BOARD, MATRIX SUPPORT	1
