-21	-11	DRAWING	TITLE	FIND	STRIKE
AR		SEE DRAWING NOTE 26	MOISTUREPROOFING	55	
AR	AR	1010848-2	WIRE, ELECTRICAL – NICKEL	54	
X	X	1009509	SCHEMATIC	REF	
1	1	MS20341-10B	NUT, HEX	53	
1	1	1008071-2	WASHER, FLAT	52	
2	2	1008024-1	WASHER, INSULATOR	51	
1	1	1008615	TEFLON SPACER	50	
3	3	1010397-1	TRANSISTOR	49	
1	1	1010269-1	TRANSISTOR	48	
1	1	1010375-66	CAPACITOR	47	
1	1	1010375-12	CAPACITOR	46	
2	2	1010359-27	CAPACITOR	45	
1	1	1010359-11	CAPACITOR	44	
1	1	1006755-134	CAPACITOR	43	
1	1	1006755-77	CAPACITOR	42	
2	2	1006755-69	CAPACITOR	41	
1	1	1006755-65	CAPACITOR	40	
1	1	1006755-45	CAPACITOR	39	
1	1	1006755-20	CAPACITOR	38	
1	1	1010372-24	DIODE	37	
1	1	1010368-11	RESISTOR	36	
1	1	1010364-757	RESISTOR	35	
1	1	1010364-749	RESISTOR	34	
1	1	1010364-727	RESISTOR	33	
1	1	1010364-666	RESISTOR	32	
1	1	1010364-521	RESISTOR	31	
1	1	1010364-93	RESISTOR	30	
2	2	1006750-84	RESISTOR	29	
1	1	1006750-77	RESISTOR	28	
1	1	1006750-72	RESISTOR	27	
1	1	1006750-70	RESISTOR	26	
1	1	1006750-69	RESISTOR	25	
1	1	1006750-64	RESISTOR	24	
1	1	1006750-56	RESISTOR	23	
1	1	1006750-44	RESISTOR	22	
1	1	1006750-34	RESISTOR	21	
1	1	1006750-20	RESISTOR	20	
1	1	1006750-19	RESISTOR	19	
1	1	1006750-18	RESISTOR	18	
1	1	1006750-7	RESISTOR	17	
	AR	1006776-22	INSULATION SLEEVING	16	X
AR	AR	1006776-21	INSULATION SLEEVING	15	
AR	AR	1006776-20	INSULATION SLEEVING	14	
	AR	1006757-8	WIRE, ELECTRICAL	13	X
AR	AR	1006757-1	WIRE, ELECTRICAL	12	
4	4	1010485-42	SCREW, FILLISTER HD	11	
2	2	1015135-015	SPACER	10	
1	1	1010485-100	SCREW, FILLISTER HD	9	
1	1	1010485-116	SCREW, FILLISTER HD	8	
1	1	1015131	SPACER	7	
1	1	1008540-14	GASKET, CONNECTOR MINAT	6	
14	14	1006782-5	CONTACT, WRAPOST, MALE MINAT	5	
14	14	1006775	INSULATOR, WRAPOST, MALE MINAT	4	
1	1	1008599	WIRING BOARD, TOP	3	
1	1	1008598	WIRING BOARD, BOTTOM	2	
1	1	1007596	FRAME ASSY	1	
					
			PROOFED		
