LANDMARK	B0	FMT_OCT		TBD
LASTXCMD	B0	FMT_OCT		TBD
LASTYCMD	B0	FMT_OCT		TBD
LAT	360	FMT_DP		TBD
LAT(SPL)	360	FMT_DP		TBD
LATANG	4	FMT_DP		TBD
LAUNCHAZ	360	FMT_DP		TBD
LEMMASS	B16	FMT_SP		TBD
LM EPOCH	B18	FMT_DP	FormatEpoch	TBD
LNG(SPL)	360	FMT_DP		TBD
LONG	360	FMT_DP		TBD
LRVTIMDL	B28	FMT_DP		TBD
LRXCDUDL	360	FMT_SP		TBD
LRYCDUDL	360	FMT_SP		TBD
LRZCDUDL	360	FMT_SP		TBD
MARK2DWN	B28	FMT_DP		TBD
MARK2DWN+2	360	FMT_USP		TBD
MARK2DWN+3	360	FMT_USP		TBD
MARK2DWN+4	360	FMT_USP		TBD
MARK2DWN+5	360	FMT_USP		TBD
MARK2DWN+6	45	FMT_SP	FormatOTRUNNION	TBD
MARKDOWN	B28	FMT_DP		TBD
MARKDOWN+2	360	FMT_USP		TBD
MARKDOWN+3	360	FMT_USP		TBD
MARKDOWN+4	360	FMT_USP		TBD
MARKDOWN+5	360	FMT_USP		TBD
MARKDOWN+6	45	FMT_SP	FormatOTRUNNION	TBD
MARKTIME	B28	FMT_DP		TBD
MGC	360	FMT_DP		TBD
MKTIME	B28	FMT_DP		TBD
NEGTORKP	32	FMT_DEC		TBD
NEGTORKU	32	FMT_DEC		TBD
NEGTORKV	32	FMT_DEC		TBD
NN	B0	FMT_DEC		TBD
OFFSET	B29	FMT_DP		TBD
OGC	360	FMT_DP		TBD
OMEGAP	45	FMT_SP		TBD
OMEGAPD	45	FMT_SP		TBD
OMEGAQ	45	FMT_SP		TBD
OMEGAQD	45	FMT_SP		TBD
OMEGAR	45	FMT_SP		TBD
OMEGARD	45	FMT_SP		TBD
OPTION1	B0	FMT_OCT		TBD
OPTION2	B0	FMT_OCT		TBD
OPTMODES	B0	FMT_OCT		TBD
PACTOFF	B14	FMT_SP	FormatXACTOFF	TBD
PAXERR1	360	FMT_SP		TBD
PCMD	B14	FMT_SP	FormatXACTOFF	TBD
PIPAX	B14	FMT_SP		TBD
PIPAY	B14	FMT_SP		TBD
PIPAZ	B14	FMT_SP		TBD
PIPTIME	B28	FMT_DP		TBD
PIPTIME1	B28	FMT_DP		TBD
POSTORKP	32	FMT_DEC		TBD
POSTORKU	32	FMT_DEC		TBD
POSTORKV	32	FMT_DEC		TBD
PREL	1800	FMT_SP		TBD
PSEUDO55	B14	FMT_SP	FormatGtc	TBD
QREL	1800	FMT_SP		TBD
R-OTHER	B29	FMT_DP		TBD
R-OTHER+2	B29	FMT_DP		TBD
R-OTHER+4	B29	FMT_DP		TBD
RADMODES	B0	FMT_OCT		TBD
RANGE	B29	FMT_DP		TBD
RANGRDOT	B0	FMT_2OCT		TBD
RCSFLAGS	B0	FMT_OCT		TBD
RDOT	B0	FMT_DP	FormatRDOT	TBD
REDOCTR	B0	FMT_DEC		TBD
REFSMMAT	2	FMT_DP		TBD
REFSMMAT+10	2	FMT_DP		TBD
REFSMMAT+2	2	FMT_DP		TBD
REFSMMAT+4	2	FMT_DP		TBD
REFSMMAT+6	2	FMT_DP		TBD
REFSMMAT+8	2	FMT_DP		TBD
RGU	B24	FMT_DP		TBD
RGU+2	B24	FMT_DP		TBD
RGU+4	B24	FMT_DP		TBD
RLS	B27	FMT_DP		TBD
RLS+2	B27	FMT_DP		TBD
RLS+4	B27	FMT_DP		TBD
RM	100	FMT_DEC		TBD
RN	B29	FMT_DP		TBD
RN+2	B29	FMT_DP		TBD
RN+4	B29	FMT_DP		TBD
ROLLC	360	FMT_SP		TBD
ROLLTM	180	FMT_SP		TBD
RRATE	B7	FMT_DP		TBD
RREL	1800	FMT_SP		TBD
RR_TRUN	360	FMT_SP		TBD
RSBBQ	B0	FMT_OCT		TBD
RSBBQ+1	B0	FMT_OCT		TBD
RTARG	B29	FMT_DP		TBD
RTARG+2	B29	FMT_DP		TBD
RTARG+4	B29	FMT_DP		TBD
RTARGX	B29	FMT_DP		TBD
RTARGY	B29	FMT_DP		TBD
RTARGZ	B29	FMT_DP		TBD
RTHETA	360	FMT_DP		TBD
STARSAV1	2	FMT_DP		TBD
STARSAV1+2	2	FMT_DP		TBD
STARSAV1+4	2	FMT_DP		TBD
STARSAV2	2	FMT_DP		TBD
STARSAV2+2	2	FMT_DP		TBD
STARSAV2+4	2	FMT_DP		TBD
STATE	B0	FMT_2OCT		TBD
STATE+10	B0	FMT_2OCT		TBD
STATE+2	B0	FMT_2OCT		TBD
STATE+4	B0	FMT_2OCT		TBD
STATE+6	B0	FMT_2OCT		TBD
STATE+8	B0	FMT_2OCT		TBD
SVMRKDAT	B28	FMT_DP		TBD
SVMRKDAT+10	360	FMT_USP		TBD
SVMRKDAT+11	360	FMT_USP		TBD
SVMRKDAT+12	45	FMT_SP	FormatOTRUNNION	TBD
SVMRKDAT+13	360	FMT_USP		TBD
SVMRKDAT+14	B28	FMT_DP		TBD
SVMRKDAT+16	360	FMT_USP		TBD
SVMRKDAT+17	360	FMT_USP		TBD
SVMRKDAT+18	360	FMT_USP		TBD
SVMRKDAT+19	45	FMT_SP	FormatOTRUNNION	TBD
SVMRKDAT+2	360	FMT_USP		TBD
SVMRKDAT+20	360	FMT_USP		TBD
SVMRKDAT+21	B28	FMT_DP		TBD
SVMRKDAT+23	360	FMT_USP		TBD
SVMRKDAT+24	360	FMT_USP		TBD
SVMRKDAT+25	360	FMT_USP		TBD
SVMRKDAT+26	45	FMT_SP	FormatOTRUNNION	TBD
SVMRKDAT+27	360	FMT_USP		TBD
SVMRKDAT+28	B28	FMT_DP		TBD
SVMRKDAT+3	360	FMT_USP		TBD
SVMRKDAT+30	360	FMT_USP		TBD
SVMRKDAT+31	360	FMT_USP		TBD
SVMRKDAT+32	360	FMT_USP		TBD
SVMRKDAT+33	45	FMT_SP	FormatOTRUNNION	TBD
SVMRKDAT+34	360	FMT_USP		TBD
SVMRKDAT+4	360	FMT_USP		TBD
SVMRKDAT+5	45	FMT_SP	FormatOTRUNNION	TBD
SVMRKDAT+6	360	FMT_USP		TBD
SVMRKDAT+7	B28	FMT_DP		TBD
SVMRKDAT+9	360	FMT_USP		TBD
SYNC	B0	FMT_OCT		TBD
T-OTHER	B28	FMT_DP		TBD
TALIGN	B28	FMT_DP		TBD
TANGNB	360	FMT_SP		TBD
TANGNB+1	360	FMT_SP		TBD
TCDH	B28	FMT_DP		TBD
TCSI	B28	FMT_DP		TBD
TET	B28	FMT_DP		TBD
TEVENT	B28	FMT_DP		TBD
TGO	B28	FMT_DP		TBD
THETAD	360	FMT_SP		TBD
THETAD+1	360	FMT_SP		TBD
THETAD+2	360	FMT_SP		TBD
THETADX	360	FMT_USP		TBD
THETADY	360	FMT_USP		TBD
THETADZ	360	FMT_USP		TBD
THETAH	360	FMT_DP		TBD
TIG	B28	FMT_DP		TBD
TIME	B28	FMT_DP		TBD
TLAND	B28	FMT_DP		TBD
TPASS4	B28	FMT_DP		TBD
TRKMKCNT	B0	FMT_DEC		TBD
TTE	B28	FMT_DP		TBD
TTF/8	B17	FMT_DP		TBD
TTOGO	B28	FMT_DP		TBD
TTPF	B28	FMT_DP		TBD
TTPI	B28	FMT_DP		TBD
UNFC/2	B0	FMT_DP		TBD
UNFC/2+2	B0	FMT_DP		TBD
UNFC/2+4	B0	FMT_DP		TBD
UPBUF	B0	FMT_2OCT		TBD
UPBUF+10	B0	FMT_2OCT		TBD
UPBUF+12	B0	FMT_2OCT		TBD
UPBUF+14	B0	FMT_2OCT		TBD
UPBUF+16	B0	FMT_2OCT		TBD
UPBUF+18	B0	FMT_2OCT		TBD
UPBUF+2	B0	FMT_2OCT		TBD
UPBUF+4	B0	FMT_2OCT		TBD
UPBUF+6	B0	FMT_2OCT		TBD
UPBUF+8	B0	FMT_2OCT		TBD
UPBUFF	B0	FMT_2OCT		TBD
UPBUFF+10	B0	FMT_2OCT		TBD
UPBUFF+12	B0	FMT_2OCT		TBD
UPBUFF+14	B0	FMT_2OCT		TBD
UPBUFF+16	B0	FMT_2OCT		TBD
UPBUFF+18	B0	FMT_2OCT		TBD
UPBUFF+2	B0	FMT_2OCT		TBD
UPBUFF+4	B0	FMT_2OCT		TBD
UPBUFF+6	B0	FMT_2OCT		TBD
UPBUFF+8	B0	FMT_2OCT		TBD
UPCOUNT	B0	FMT_OCT		TBD
UPOLDMOD	B0	FMT_DEC		TBD
UPVERB	B0	FMT_DEC		TBD
V-OTHER	B7	FMT_DP		TBD
V-OTHER+2	B7	FMT_DP		TBD
V-OTHER+4	B7	FMT_DP		TBD
VGTIG	B7	FMT_DP		TBD
VGTIG+2	B7	FMT_DP		TBD
VGTIG+4	B7	FMT_DP		TBD
VGU	B10	FMT_DP		TBD
VGU+2	B10	FMT_DP		TBD
VGU+4	B10	FMT_DP		TBD
VGVECT	B7	FMT_DP		TBD
VGVECT+2	B7	FMT_DP		TBD
VGVECT+4	B7	FMT_DP		TBD
VHFCNT	B0	FMT_DEC		TBD
VHFTIME	B28	FMT_DP		TBD
VIO	B7	FMT_DP		TBD
VMEAS	B28	FMT_DP		TBD
VN	B7	FMT_DP		TBD
VN+2	B7	FMT_DP		TBD
VN+4	B7	FMT_DP		TBD
VPRED	B7	FMT_DP		TBD
VSELECT	B0	FMT_DEC		TBD
WBODY	450	FMT_DP	FormatAdotsOrOga	TBD
